Title,Fermi,Ticks,Label,HSP,Energy
0_kbar,8.9423,0,Γ,0,-46.892
,,0.5,X,0.025,-46.8919
,,1,M,0.05,-46.8918
,,1.7071,Γ,0.075,-46.8917
,,2.1853,Z,0.1,-46.8917
,,2.6853,R,0.125,-46.8916
,,3.1853,A,0.15,-46.8915
,,3.8924,Z|X,0.175,-46.8914
,,4.3705,R|M,0.2,-46.8912
,,4.8487,A,0.225,-46.891
,,,,0.25,-46.8909
,,,,0.275,-46.8907
,,,,0.3,-46.8905
,,,,0.325,-46.8903
,,,,0.35,-46.8901
,,,,0.375,-46.8899
,,,,0.4,-46.8898
,,,,0.425,-46.8896
,,,,0.45,-46.8894
,,,,0.475,-46.8894
,,,,0.5,-46.8893
,,,,0.525,-46.8894
,,,,0.55,-46.8894
,,,,0.575,-46.8894
,,,,0.6,-46.8893
,,,,0.625,-46.8891
,,,,0.65,-46.889
,,,,0.675,-46.8888
,,,,0.7,-46.8886
,,,,0.725,-46.8884
,,,,0.75,-46.8883
,,,,0.775,-46.8881
,,,,0.8,-46.8879
,,,,0.825,-46.8877
,,,,0.85,-46.8876
,,,,0.875,-46.8875
,,,,0.9,-46.8874
,,,,0.925,-46.8873
,,,,0.95,-46.8871
,,,,0.975,-46.887
,,,,1,-46.8871
,,,,1.0354,-46.8871
,,,,1.0707,-46.8873
,,,,1.1061,-46.8874
,,,,1.1414,-46.8875
,,,,1.1768,-46.8878
,,,,1.2121,-46.888
,,,,1.2475,-46.8884
,,,,1.2828,-46.8889
,,,,1.3182,-46.8892
,,,,1.3536,-46.8896
,,,,1.3889,-46.8902
,,,,1.4243,-46.8904
,,,,1.4596,-46.8908
,,,,1.495,-46.8911
,,,,1.5303,-46.8913
,,,,1.5657,-46.8916
,,,,1.601,-46.8917
,,,,1.6364,-46.8918
,,,,1.6718,-46.8919
,,,,1.7071,-46.892
,,,,1.731,-46.892
,,,,1.7549,-46.892
,,,,1.7788,-46.8919
,,,,1.8027,-46.8918
,,,,1.8266,-46.892
,,,,1.8506,-46.8918
,,,,1.8745,-46.8916
,,,,1.8984,-46.8915
,,,,1.9223,-46.8913
,,,,1.9462,-46.8913
,,,,1.9701,-46.8913
,,,,1.994,-46.8912
,,,,2.0179,-46.8911
,,,,2.0418,-46.891
,,,,2.0657,-46.8909
,,,,2.0896,-46.8908
,,,,2.1135,-46.8907
,,,,2.1375,-46.8907
,,,,2.1614,-46.8907
,,,,2.1853,-46.8908
,,,,2.2103,-46.8908
,,,,2.2353,-46.8908
,,,,2.2603,-46.8907
,,,,2.2853,-46.8905
,,,,2.3103,-46.8903
,,,,2.3353,-46.8901
,,,,2.3603,-46.8899
,,,,2.3853,-46.8898
,,,,2.4103,-46.8896
,,,,2.4353,-46.8894
,,,,2.4603,-46.8892
,,,,2.4853,-46.889
,,,,2.5103,-46.889
,,,,2.5353,-46.8889
,,,,2.5603,-46.8888
,,,,2.5853,-46.8886
,,,,2.6103,-46.8884
,,,,2.6353,-46.8884
,,,,2.6603,-46.8884
,,,,2.6853,-46.8882
,,,,2.7103,-46.8884
,,,,2.7353,-46.8884
,,,,2.7603,-46.8883
,,,,2.7853,-46.8882
,,,,2.8103,-46.8881
,,,,2.8353,-46.888
,,,,2.8603,-46.8879
,,,,2.8853,-46.8877
,,,,2.9103,-46.8876
,,,,2.9353,-46.8873
,,,,2.9603,-46.8872
,,,,2.9853,-46.8869
,,,,3.0103,-46.8867
,,,,3.0353,-46.8866
,,,,3.0603,-46.8865
,,,,3.0853,-46.8863
,,,,3.1103,-46.8862
,,,,3.1353,-46.8861
,,,,3.1603,-46.886
,,,,3.1853,-46.8861
,,,,3.2206,-46.886
,,,,3.256,-46.8861
,,,,3.2913,-46.8863
,,,,3.3267,-46.8865
,,,,3.362,-46.8867
,,,,3.3974,-46.887
,,,,3.4328,-46.8873
,,,,3.4681,-46.8876
,,,,3.5035,-46.8879
,,,,3.5388,-46.8884
,,,,3.5742,-46.8887
,,,,3.6095,-46.8891
,,,,3.6449,-46.8894
,,,,3.6802,-46.8897
,,,,3.7156,-46.89
,,,,3.751,-46.8903
,,,,3.7863,-46.8904
,,,,3.8217,-46.8906
,,,,3.857,-46.8908
,,,,3.8924,-46.8908
,,,,3.8924,-46.8893
,,,,3.9163,-46.8894
,,,,3.9402,-46.8895
,,,,3.9641,-46.8894
,,,,3.988,-46.8893
,,,,4.0119,-46.8893
,,,,4.0358,-46.8893
,,,,4.0597,-46.8893
,,,,4.0836,-46.8892
,,,,4.1076,-46.8892
,,,,4.1315,-46.8891
,,,,4.1554,-46.889
,,,,4.1793,-46.8889
,,,,4.2032,-46.8888
,,,,4.2271,-46.8889
,,,,4.251,-46.8888
,,,,4.2749,-46.8886
,,,,4.2988,-46.8885
,,,,4.3227,-46.8884
,,,,4.3466,-46.8883
,,,,4.3705,-46.8882
,,,,4.3705,-46.8871
,,,,4.3945,-46.8869
,,,,4.4184,-46.887
,,,,4.4423,-46.8872
,,,,4.4662,-46.8871
,,,,4.4901,-46.887
,,,,4.514,-46.8869
,,,,4.5379,-46.8868
,,,,4.5618,-46.8868
,,,,4.5857,-46.8867
,,,,4.6096,-46.8866
,,,,4.6335,-46.8865
,,,,4.6574,-46.8865
,,,,4.6814,-46.8864
,,,,4.7053,-46.8863
,,,,4.7292,-46.8863
,,,,4.7531,-46.8861
,,,,4.777,-46.8861
,,,,4.8009,-46.8862
,,,,4.8248,-46.886
,,,,4.8487,-46.8861
,,,,,
,,,,0,-23.1142
,,,,0.025,-23.1142
,,,,0.05,-23.1141
,,,,0.075,-23.114
,,,,0.1,-23.1138
,,,,0.125,-23.1136
,,,,0.15,-23.1133
,,,,0.175,-23.113
,,,,0.2,-23.1126
,,,,0.225,-23.1122
,,,,0.25,-23.1119
,,,,0.275,-23.1115
,,,,0.3,-23.1111
,,,,0.325,-23.1107
,,,,0.35,-23.1104
,,,,0.375,-23.1101
,,,,0.4,-23.1098
,,,,0.425,-23.1095
,,,,0.45,-23.1093
,,,,0.475,-23.1092
,,,,0.5,-23.1091
,,,,0.525,-23.1091
,,,,0.55,-23.1091
,,,,0.575,-23.1089
,,,,0.6,-23.1087
,,,,0.625,-23.1085
,,,,0.65,-23.1082
,,,,0.675,-23.1079
,,,,0.7,-23.1076
,,,,0.725,-23.1073
,,,,0.75,-23.1069
,,,,0.775,-23.1065
,,,,0.8,-23.1062
,,,,0.825,-23.1058
,,,,0.85,-23.1055
,,,,0.875,-23.1052
,,,,0.9,-23.1049
,,,,0.925,-23.1047
,,,,0.95,-23.1045
,,,,0.975,-23.1044
,,,,1,-23.1044
,,,,1.0354,-23.1044
,,,,1.0707,-23.1047
,,,,1.1061,-23.105
,,,,1.1414,-23.1055
,,,,1.1768,-23.106
,,,,1.2121,-23.1066
,,,,1.2475,-23.1073
,,,,1.2828,-23.1081
,,,,1.3182,-23.1088
,,,,1.3536,-23.1095
,,,,1.3889,-23.1103
,,,,1.4243,-23.111
,,,,1.4596,-23.1117
,,,,1.495,-23.1123
,,,,1.5303,-23.1129
,,,,1.5657,-23.1134
