Title,Fermi,Ticks,Label,HSP,Energy,Edos,Ba$(6s)$,Ba$(5p)$,Ba_tot,Ti$(4s)$,Ti$(3p)$,Ti$(3d)$,Ti_tot,O$(2s)$,O$(2p)$,O_tot,DOS
BaTiO$_3$-Electronic-Band-Structure-DFT,11.115,0,Γ,0,-46.317,-15,0,0,0,0,0,0,0,0,0,0,0
BaTiO$_3$-DOS&PDOS-DFT,,0.5,X,0.025,-46.317,-14.9,0,0,0,0,0,0,0,0,0,0,0
BaTiO3_DFT,,1,M,0.05,-46.317,-14.8,0,0,0,0,0,0,0,0,0,0,0
,,1.7071,Γ,0.075,-46.3169,-14.7,1.16,0.00002,1.16,0.0982,0.000516,0.000293,0.0991,0.00363,0.00387,0.0075,1.27
,,2.1934,Z,0.1,-46.3169,-14.6,7.58,0.000767,7.58,0.1,0.00426,0.0368,0.141,0.0241,0.0969,0.121,7.84
,,2.6934,R,0.125,-46.3168,-14.5,1.05,0.0000468,1.05,0.0000392,0.00000187,0.00222,0.00226,0.0000945,0.00254,0.00263,1.06
,,3.1934,A,0.15,-46.3168,-14.4,0,0,0,0,0,0,0,0,0,0,0
,,3.9005,Z|X,0.175,-46.3167,-14.3,0,0,0,0,0,0,0,0,0,0,0
,,4.3868,R|M,0.2,-46.3166,-14.2,0,0,0,0,0,0,0,0,0,0,0
,,4.8732,A,0.225,-46.3166,-14.1,0,0,0,0,0,0,0,0,0,0,0
,,,,0.25,-46.3165,-14,0,0,0,0,0,0,0,0,0,0,0
,,,,0.275,-46.3164,-13.9,0,0,0,0,0,0,0,0,0,0,0
,,,,0.3,-46.3163,-13.8,0,0,0,0,0,0,0,0,0,0,0
,,,,0.325,-46.3162,-13.7,0,0,0,0,0,0,0,0,0,0,0
,,,,0.35,-46.3162,-13.6,0,0,0,0,0,0,0,0,0,0,0
,,,,0.375,-46.3161,-13.5,0,0,0,0,0,0,0,0,0,0,0
,,,,0.4,-46.3161,-13.4,0,0,0,0,0,0,0,0,0,0,0
,,,,0.425,-46.316,-13.3,0,0,0,0,0,0,0,0,0,0,0
,,,,0.45,-46.316,-13.2,0,0,0,0,0,0,0,0,0,0,0
,,,,0.475,-46.316,-13.1,0,0,0,0,0,0,0,0,0,0,0
,,,,0.5,-46.316,-13,0,0,0,0,0,0,0,0,0,0,0
,,,,0.525,-46.3159,-12.9,0,0,0,0,0,0,0,0,0,0,0
,,,,0.55,-46.3159,-12.8,0,0,0,0,0,0,0,0,0,0,0
,,,,0.575,-46.3159,-12.7,0,0,0,0,0,0,0,0,0,0,0
,,,,0.6,-46.3159,-12.6,0,0,0,0,0,0,0,0,0,0,0
,,,,0.625,-46.3158,-12.5,0,0,0,0,0,0,0,0,0,0,0
,,,,0.65,-46.3157,-12.4,0,0,0,0,0,0,0,0,0,0,0
,,,,0.675,-46.3157,-12.3,0,0,0,0,0,0,0,0,0,0,0
,,,,0.7,-46.3156,-12.2,0,0,0,0,0,0,0,0,0,0,0
,,,,0.725,-46.3155,-12.1,0,0,0,0,0,0,0,0,0,0,0
,,,,0.75,-46.3154,-12,0,0,0,0,0,0,0,0,0,0,0
,,,,0.775,-46.3154,-11.9,0,0,0,0,0,0,0,0,0,0,0
,,,,0.8,-46.3153,-11.8,0,0,0,0,0,0,0,0,0,0,0
,,,,0.825,-46.3152,-11.7,0,0,0,0,0,0,0,0,0,0,0
,,,,0.85,-46.3151,-11.6,0,0,0,0,0,0,0,0,0,0,0
,,,,0.875,-46.3151,-11.5,0,0,0,0,0,0,0,0,0,0,0
,,,,0.9,-46.315,-11.4,0,0,0,0,0,0,0,0,0,0,0
,,,,0.925,-46.315,-11.3,0,0,0,0,0,0,0,0,0,0,0
,,,,0.95,-46.3149,-11.2,0,0,0,0,0,0,0,0,0,0,0
,,,,0.975,-46.3149,-11.1,0,0,0,0,0,0,0,0,0,0,0
,,,,1,-46.3149,-11,0,0,0,0,0,0,0,0,0,0,0
,,,,1.0354,-46.3149,-10.9,0,0,0,0,0,0,0,0,0,0,0
,,,,1.0707,-46.315,-10.8,0,0,0,0,0,0,0,0,0,0,0
,,,,1.1061,-46.315,-10.7,0,0,0,0,0,0,0,0,0,0,0
,,,,1.1414,-46.3151,-10.6,0,0,0,0,0,0,0,0,0,0,0
,,,,1.1768,-46.3152,-10.5,0,0,0,0,0,0,0,0,0,0,0
,,,,1.2121,-46.3153,-10.4,0,0,0,0,0,0,0,0,0,0,0
,,,,1.2475,-46.3155,-10.3,0,0,0,0,0,0,0,0,0,0,0
,,,,1.2828,-46.3156,-10.2,0,0,0,0,0,0,0,0,0,0,0
,,,,1.3182,-46.3158,-10.1,0,0,0,0,0,0,0,0,0,0,0
,,,,1.3536,-46.316,-10,0,0,0,0,0,0,0,0,0,0,0
,,,,1.3889,-46.3161,-9.9,0,0,0,0,0,0,0,0,0,0,0
,,,,1.4243,-46.3163,-9.8,0,0,0,0,0,0,0,0,0,0,0
,,,,1.4596,-46.3164,-9.7,0,0,0,0,0,0,0,0,0,0,0
,,,,1.495,-46.3166,-9.6,0,0,0,0,0,0,0,0,0,0,0
,,,,1.5303,-46.3167,-9.5,0,0,0,0,0,0,0,0,0,0,0
,,,,1.5657,-46.3168,-9.4,0,0,0,0,0,0,0,0,0,0,0
,,,,1.601,-46.3169,-9.3,0,0,0,0,0,0,0,0,0,0,0
,,,,1.6364,-46.3169,-9.2,0,0,0,0,0,0,0,0,0,0,0
,,,,1.6718,-46.317,-9.1,0,0,0,0,0,0,0,0,0,0,0
,,,,1.7071,-46.317,-9,0,0,0,0,0,0,0,0,0,0,0
,,,,1.7314,-46.317,-8.9,0,0,0,0,0,0,0,0,0,0,0
,,,,1.7557,-46.317,-8.8,0,0,0,0,0,0,0,0,0,0,0
,,,,1.7801,-46.317,-8.7,0,0,0,0,0,0,0,0,0,0,0
,,,,1.8044,-46.3169,-8.6,0,0,0,0,0,0,0,0,0,0,0
,,,,1.8287,-46.3169,-8.5,0,0,0,0,0,0,0,0,0,0,0
